Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared
496,9.45,14576.15,2.15,20.86077,0

497,19.55,14595.7,2.67,20.63832,0

498,16.85,14612.55,2.52,20.40517,0

499,29.1,14641.65,2.4,20.5001,0

500,38.0,14679.65,2.48,20.77392,0

501,33.55,14713.2,2.76,20.88601,0

502,32.9,14746.1,1.42,20.95825,0

503,48.0,14794.1,2.25,21.35399,0

504,15.95,14810.05,2.6,20.93956,0

505,34.5,14844.55,1.94,21.03575,0

506,45.7,14890.25,2.9,21.3623,0

507,24.6,14914.85,1.73,21.14063,0

508,44.5,14959.35,2.18,21.41658,0

509,21.15,14980.5,2.88,21.10507,0

510,49.8,15030.3,3.5,21.50827,0

511,30.9,15061.2,2.23,21.39551,0

512,47.9,15109.1,2.22,21.69061,0

513,36.65,15145.75,1.43,21.66619,0

514,32.65,15178.4,1.87,21.55727,0

515,36.85,15215.25,2.58,21.56735,0

516,8.3,15223.55,2.26,20.93279,0

517,40.05,15263.6,1.63,21.15538,0

518,44.85,15308.45,1.36,21.43589,0

519,29.45,15337.9,1.63,21.30679,0

520,18.7,15356.6,3.02,20.96485,0

521,28.85,15385.45,2.57,20.92823,0

522,26.7,15412.15,2.35,20.85147,0

523,43.2,15455.35,2.59,21.16324,0

524,39.8,15495.15,2.09,21.32835,0

525,40.15,15535.3,3.12,21.46419,0

526,45.85,15581.15,1.41,21.69772,0

527,40.3,15621.45,1.69,21.75383,0

528,4.65,15626.1,3.29,20.99519,0

529,18.2,15644.3,3.43,20.71211,0

530,18.25,15662.55,3.2,20.49386,0

531,45.8,15708.35,1.97,20.94458,0

532,41.8,15750.15,2.79,21.2039,0

533,59.4,15809.55,2.37,21.80086,0

534,27.4,15836.95,2.72,21.54351,0

535,36.5,15873.45,1.24,21.54882,0

536,44.35,15917.8,4.31,21.72955,0

537,44.05,15961.85,2.28,21.86287,0

538,16.35,15978.2,2.24,21.34295,0

539,56.3,16034.5,3.96,21.83888,0

540,44.9,16079.4,2.25,21.96673,0

541,30.0,16109.4,3.48,21.73056,0

542,34.75,16144.15,2.04,21.6544,0

543,38.6,16182.75,2.13,21.68201,0

544,3.05,16185.8,2.55,20.90352,0

545,21.5,16207.3,3.23,20.71533,0

546,54.8,16262.1,2.83,21.31872,0

547,30.95,16293.05,2.85,21.24973,0

548,47.9,16340.95,3.34,21.57763,0

549,36.85,16377.8,1.84,21.58314,0

550,32.75,16410.55,2.58,21.49515,0

551,66.4,16476.95,2.82,22.18409,0

552,49.05,16526.0,2.0,22.32764,0

553,16.6,16542.6,1.93,21.70876,0

554,24.95,16567.55,1.22,21.41701,0

555,55.5,16623.05,2.07,21.87828,0

556,36.05,16659.1,1.21,21.79813,0

557,38.4,16697.5,2.07,21.7889,0

558,48.6,16746.1,1.19,22.01124,0

559,29.85,16775.95,2.1,21.76168,0

560,54.7,16830.65,2.54,22.1274,0

561,38.0,16868.65,2.21,22.03508,0

562,15.2,16883.85,3.44,21.45053,0

563,48.8,16932.65,2.37,21.75351,0

564,39.8,16972.45,3.88,21.78581,0

565,59.05,17031.5,2.98,22.24397,0

566,16.0,17047.5,2.74,21.63042,0

567,36.1,17083.6,2.06,21.60717,0

568,26.15,17109.75,1.81,21.36528,0

569,35.2,17144.95,3.11,21.38144,0

570,43.7,17188.65,2.47,21.58521,0

571,55.0,17243.65,2.55,21.99738,0

572,54.35,17298.0,2.63,22.30219,0

573,37.3,17335.3,1.56,22.15479,0

574,52.2,17387.5,3.16,22.37581,0

575,50.1,17437.6,1.83,22.49985,0

576,44.4,17482.0,1.5,22.46772,0

577,48.0,17530.0,1.73,22.52383,0

578,25.85,17555.85,3.14,22.06894,0

579,51.1,17606.95,1.15,22.28452,0

580,42.85,17649.8,3.57,22.26597,0

581,9.75,17659.55,3.18,21.50685,0

582,53.95,17713.5,2.27,22.31757,0

583,25.95,17739.45,3.03,22.31589,0

584,63.7,17803.15,2.63,23.16395,0

585,21.9,17825.05,1.74,22.8807,0

586,36.3,17861.35,3.05,22.98519,0

587,28.85,17890.2,2.02,22.89854,0

588,28.85,17919.05,2.05,22.83138,0

589,68.8,17987.85,3.0,23.67821,0

590,38.5,18026.35,1.97,23.65275,0

591,17.95,18044.3,2.27,23.17065,0

592,48.35,18092.65,2.82,23.48102,0

593,41.65,18134.3,2.67,23.57081,0

594,4.45,18138.75,2.73,22.80339,0

595,25.05,18163.8,1.77,22.67214,0

596,9.5,18173.3,2.04,22.22055,0

597,50.15,18223.45,3.73,22.78519,0

598,22.8,18246.25,2.93,22.60742,0

599,47.0,18293.25,2.54,23.01414,0

600,25.55,18318.8,3.79,22.84672,0

